nroftxns, throughput,latency, tps,batch timeout
10,11.4,45.43,204.8,1s
100,42.8,14.26,210.6,
250,45.4,14.47,212.9,
500,49.6,13.24,219.7,
600,47.5,14.17,210.5,
700,51.5,13.65,227.8,
800,49.3,13.89,214,
900,47.9,14.07,224.6,
1000,44.6,15.55,232.8,
,,,217.5222222,
