nroftxns, throughput,latency, tps,batch timeout
10,10.3,53.2,203.7,4s
100,46.2,13.63,220,
250,55,11.28,225.8,
500,58.1,11.41,220,
600,58.8,11.49,222.7,
700,59.7,11.64,205.7,
800,60.1,11.9,237,
900,57.3,11.86,212,
1000,57.6,12.33,257.5,
,,,222.7111111,
