nroftxns, throughput,latency, tps,batch timeout
10,10.9,49.09,184,2 s
100,45.6,13.46,219.2,
250,49.5,12.95,223.8,
500,51.2,12.38,232.5,
600,50.5,13.99,221.5,
700,52.4,13.52,227.1,
800,54.1,12.59,227.7,
900,53.8,13.07,227.4,
1000,50.9,13.56,232.4,
